SubstanceID,Name,Effect,Type,Level,Cost,Qty,Rareity,Reagent 1,Cost,Qty,Rareity,Reagent 2,Cost,Qty,Rareity,Reagent 3,Cost,Qty,Rareity,Reagent 4,Cost,Qty,Rareity,Reagent 5,Total Reagents,Market Price in Copper Dragons,Market Price in Silver Dragons,Market Price in Gold Dragons,,,
replace,Anamnesis Decoction,Required in the Apotheca's Anamnesis ability,Apotheca,1,5,5,Distilled Spirits,Distilled Spirits,20,2,Common,Sayge,11,1,Uncommon,Widow's Petal,11,1,Uncommon,Harrowdust,10,1,Common,Sayge,5,58,5.8,0.58,,,
face,Blade Oil,Applied to a weapon to convert any one Active Martial call into a Cleave and allows the skill to be used with 1-Handed weapons. This potion’s effects are canceled the next time the player uses the Cleave effect or the event ends. A weapon can only have one oil/salve on it at a time.,Apotheca,1,1,1,Distilled Spirits,Distilled Spirits,10,1,Common,Dragon's Eye,10,1,Common,Dragon's Eye,10,1,Common,Dragon's Eye,20,2,Common,Verbaena,5,53,5.3,0.53,,,
seller,Blade Salve,Applied to a weapon to allow it to absorb 1 additional Sunder. This effect lasts until the weapon is Sundered next or the event ends. A weapon can only have one oil/salve on it at a time.,Apotheca,1,3,3,Distilled Spirits,Distilled Spirits,20,2,Common,Sayge,10,1,Common,Willow Root,0,0,Common,Verbaena,10,1,Common,Verbaena,4,44,4.4,0.44,,,
thought,Bridgit's Revenge,"Bridgit’s Revenge causes immediate and severe stomach pains, vomiting, and sometimes internal bleeding. If not cured, the poison progresses into a painful infection which slowly kills the victim after about three months. The poison causes the Weakness effect at the second event with the infection, and the victim dies at the end of their second event if not cured.",Poison,1,2,2,Distilled Spirits,Distilled Spirits,11,1,Uncommon,Thornwood Fern,11,1,Uncommon,Thornwood Fern,11,1,Uncommon,Thornwood Fern,20,2,Common,Verbaena,5,57,5.7,0.57,,,
disagreement,Bull's Decoction,Convert one Active Martial call into a Sunder and allows the skill to be used with any 1-Handed weapon. This potion’s effects are canceled the next time the player uses a Sunder effect or the event ends. Does not stack with itself or other consumables that grant Sunder. ,Apotheca,1,7,7,Distilled Spirits,Distilled Spirits,10,1,Common,Dragon's Eye,10,1,Common,Dragon's Eye,10,1,Common,Gold Lotus,10,1,Common,Phosphorous,4,48,4.8,0.48,,,
insist,Cat's Eyes,Must be used in the dark. Cat’s Eyes allows user to see in the “darkness” until they are exposed to daylight. Some encounters will feature a simulated darkness which causes blindness.,Apotheca,1,5,5,Distilled Spirits,Distilled Spirits,10,1,Common,Gold Lotus,10,1,Common,Gold Lotus,20,2,Common,Orgonnian Grapes,10,1,Common,Willow Root,5,56,5.6,0.56,,,
date,Cat's Paw,Gain 1 temporary level of the Disarm Device skill (Max 3) until a different potion is consumed or 30 minutes have passed. Does not stack with itself or other consumables that grant Disarm Device.,Apotheca,1,3,3,Distilled Spirits,Distilled Spirits,20,2,Common,Phosphorous,10,1,Common,Phosphorous,10,1,Common,Verbaena,10,1,Common,Dragon's Eye,5,54,5.4,0.54,,,
stun,Cub's Decoction,Add 1 temporary point of Tough to total Armor Value. Must be used before any purchased levels of Tough. This potion’s effects are canceled the next time the player uses Tough or the event ends. Does not stack with itself or other consumables that grant Tough.,Apotheca,1,3,3,Distilled Spirits,Distilled Spirits,20,2,Common,Sayge,10,1,Common,Willow Root,10,1,Common,Phosphorous,10,1,Common,Merchant's Leaf,5,54,5.4,0.54,,,
welfare,Cutter,Cutter is a fine white powder that is highly stimulating and causes extreme attentiveness and agitation for 1 hour. Gain 1 temporary level of the Perception skill (max 3) and -1 minute to Bleeding count for duration. Does not stack with itself or other consumables that grant Perception. This drug is highly addictive and should be roleplayed as such.,Drug,1,0,0,Distilled Spirits,Distilled Spirits,10,1,Common,Merchant's Leaf,20,2,Common,Merchant's Leaf,10,1,Common,Verbaena,10,1,Common,Verbaena,5,51,5.1,0.51,,,
addition,Distilled Spirits,Base substance needed to create most any apothecary substance.,Apotheca,1,,1,Distilled Spirits,Distilled Spirits,,,,,,,,,,,,,,,,,,,0,0,,,
cave,Duelist's Decoction,Convert any one Active Martial call into a Disarm. This potion’s effects are canceled the next time the player uses the Disarm effect or the event ends. Does not stack with itself or other consumables that grant Disarm.,Apotheca,1,1,1,Distilled Spirits,Distilled Spirits,10,1,Common,Dragon's Eye,20,2,Common,Sayge,10,1,Common,Verbaena,10,1,Common,Dragon's Eye,5,52,5.2,0.52,,,
mercy,Eagle,Gain 1 temporary level of the Tracking Skill (Max 3) until a different potion is consumed or 30 minutes have passed. Does not stack with itself or other consumables that grant Tracking.,Apotheca,1,4,4,Distilled Spirits,Distilled Spirits,10,1,Common,Gold Lotus,20,2,Common,Orgonnian Grapes,10,1,Common,Orgonnian Grapes,10,1,Common,Verbaena,5,55,5.5,0.55,,,
palest,Innis's Serum,Cures the Bridgit's Revenge Poison,Apotheca,1,2,2,Distilled Spirits,Distilled Spirits,20,2,Common,Orgonnian Grapes,10,1,Common,Dragon's Eye,10,1,Common,Celandine,10,1,Common,Celandine,5,53,5.3,0.53,,,
cart,Lillywhite,Cure for the Measles disease.,Apotheca,1,0,,Distilled Spirits,Distilled Spirits,10,1,Common,Dragon's Eye,10,1,Common,Verbaena,10,1,Common,Willow Root,20,2,Common,Celandine,5,52,5.2,0.52,,,
billow,Moonbrew,"This rare remedy is one of the few curatives for an infection of otherworldly fungus known as Funeral Bell, found in the Annwyn. This flora insidiously infects its victim, slowly turning them into a mindless, ravenous automation that only seeks to spread the affliction. When consumed, this semi-toxic decoction produces vomiting, muscle spasms, and nausea that violently expels the infestation.",Apotheca,1,1,1,Distilled Spirits,Distilled Spirits,10,1,Common,Gold Lotus,10,1,Common,Phosphorous,10,1,Common,Mandrake,10,1,Common,Mandrake,4,42,4.2,0.42,,,
bird,Pit Fighter's Elixir,"Convert any one Active Martial call into a Stun, and the Stun does not require an attack from behind. This potion’s effects are canceled the next time the player uses a Stun effect or the event ends. Does not stack with itself or other consumables that grant Stun. ",Apotheca,1,2,2,Distilled Spirits,Distilled Spirits,10,1,Common,Dragon's Eye,10,1,Common,Verbaena,10,1,Common,Phosphorous,10,1,Common,Willow Root,4,43,4.3,0.43,,,
clarify,Purity Decoction,Cure for the Lilting Plague disease.,Apotheca,1,1,1,Distilled Spirits,Distilled Spirits,20,2,Common,Celandine,10,1,Common,Luminesce,10,1,Common,Phosphorous,10,1,Common,Black Salt,5,52,5.2,0.52,,,
petals,Spice,An intense hallucinogenic. The user must have at least Academics 1 to gain the following benefit: May ignore all level 1 lore requirements to open and read lores for ten minutes. Cannot use those lores to level up if they do not meet the standard requirement yet; but they can hold on to the lores and use them later when they do. Academics reduced to 0 for one hour afterwards.,Drug,1,2,2,Distilled Spirits,Distilled Spirits,10,1,Common,Sayge,20,2,Common,Gold Lotus,10,1,Common,Mandrake,10,1,Common,Mandrake,5,53,5.3,0.53,,,
dictate,Spotter's Draught,Gain 1 temporary level of the Perception Skill (Max 3) until a different potion is consumed or 30 minutes have passed. Does not stack with itself or other consumables that grant Perception.,Apotheca,1,2,2,Distilled Spirits,Distilled Spirits,10,1,Common,Orgonnian Grapes,10,1,Common,Orgonnian Grapes,10,1,Common,Verbaena,10,1,Common,Verbaena,4,43,4.3,0.43,,,
bus,Stardust,"Renders a state of blissful, numb euphoria for 1 hour. During that time, the user is hardly able to rouse themselves from their dreamlike state. Gain 1 temporary point of Tough and the Weakness effect for the duration. Does not stack with itself or other consumables that grant Tough. This drug is moderately addictive and should be roleplayed as such.",Drug,1,0,0,Distilled Spirits,Distilled Spirits,10,1,Common,Mandrake,10,1,Common,Mandrake,20,2,Common,Willow Root,10,1,Common,Verbaena,5,51,5.1,0.51,,,
conservation,Verdant Decoction,Cure for the Graverot Fever disease.,Apotheca,1,4,4,Distilled Spirits,Distilled Spirits,20,2,Common,Celandine,10,1,Common,Hollyrue,10,1,Common,Sayge,10,1,Common,Willow Root,5,55,5.5,0.55,,,
syndrome,White Roland's Serum,Add 60 seconds to your Bleeding Count. May only be used while in the Bleeding Count. Does not stack with itself or other consumables that grant seconds to the Bleeding Count.,Apotheca,1,1,1,Distilled Spirits,Distilled Spirits,10,1,Common,Phosphorous,20,2,Common,Merchant's Leaf,10,1,Common,Phosphorous,10,1,Common,Willow Root,5,52,5.2,0.52,,,
fruit,Bear's Decoction,Add 2 temporary points of Tough to total Armor Value. Must be used before any purchased levels of Tough. This potion’s effects are canceled the next time the player uses both temporary Tough points or the event ends. Does not stack with itself or other consumables that grant Tough.,Apotheca,2,2,2,Distilled Spirits,Distilled Spirits,30,3,Common,Phosphorous,20,2,Common,Verbaena,33,3,Uncommon,Wintercrown,22,2,Uncommon,Ergot Seeds,10,112,11.2,1.12,,,
element,Broth of the Volkun,"Causes immediate, uncurable Weakness. Over the course of 24 hours, the victim becomes weaker and weaker, as their bones become brittle and unable to support themselves. Bones may break easily. At the 12 hour mark, the victim will start to suffer from random episodes of paralysis that last for 15 minutes but are curable. If not cured of the poison, the victim dies 24 hours after imbibing.",Poison,2,4,4,Distilled Spirits,Distilled Spirits,55,5,Uncommon,Creeper Moss,33,3,Uncommon,Red Lotus,10,1,Common,Mandrake,10,1,Common,Mandrake,10,114,11.4,,,,
buddy,The Gloaming,"This ruddy vial of brackish green liquid is to be taken just before bed. Some say it is made by blaspheming the dead, whatever that means. Upon imbibing, you are for a time seemingly transported to the consciousness of another. Alive? Long dead? Who can say? You are however, keenly aware of a body of knowledge and experiences not your own. 
Use the Information Gathering ability and switch a lore skill you have for another of the same level until the next refresh. The more you use this drug, you will find it increasingly difficult to maintain your sense of self and reality as fragments of other anima compete for space in your psyche. Over the course of one refresh, you experience at random one each of the effects Paralyze, Sleep, and Fear.",Drug,2,5,5,Distilled Spirits,Distilled Spirits,80,1,Loot Drop,Essence of the Unhallowed,33,3,Uncommon,Tarkathi Poppy,22,2,Uncommon,Widow's Petal,20,2,Common,Luminesce,8,164,16.4,,,,
nap,Expert Blade Oil,Applied to a weapon to convert any two calls into Cleaves and allows the skill to be used with 1-Handed weapons. This potion’s effects are canceled the next time the player uses both Cleave effects or the event ends. A weapon can only have one oil/salve on it at a time.,Apotheca,2,6,6,Distilled Spirits,Distilled Spirits,10,1,Common,Dragon's Eye,11,1,Uncommon,Crypt Moss,10,1,Common,Willow Root,30,3,Common,Dragon's Eye,6,73,7.3,0.73,,8.09375,3.2375
zealot,Expert Blade Salve,Applied to a weapon to allow it to absorb 2 additional Sunders. This effect lasts until the weapon is Sundered twice or the event ends. A weapon can only have one oil/salve on it at a time.,Apotheca,2,3,3,Distilled Spirits,Distilled Spirits,20,2,Common,Sayge,20,2,Common,Willow Root,20,2,Common,Verbaena,11,1,Uncommon,Duskland Rose,7,77,7.7,0.77,,,
manticore,Expert Duelist's Decoction,Convert any two Active Martial calls into Disarms. This potion’s effects are canceled the next time the player uses both Disarm effects or the event ends. Does not stack with itself or other consumables that grant Disarm.,Apotheca,2,4,4,Distilled Spirits,Distilled Spirits,22,2,Uncommon,Ergot Seeds,20,2,Common,Sayge,10,1,Common,Dragon's Eye,11,1,Uncommon,Wraith Orchid,6,70,7,,,,7.5
standard,Falcon,Gain 2 temporary levels of the Tracking Skill (Max 3) until a different potion is consumed or 1 hour has passed. Does not stack with itself or other consumables that grant Tracking.,Apotheca,2,4,4,Distilled Spirits,Distilled Spirits,20,2,Common,Orgonnian Grapes,22,2,Uncommon,Creeper Moss,11,1,Uncommon,Harrowdust,11,1,Uncommon,Wraith Orchid,6,71,7.1,0.71,,,
molded,Gorgon's Brew,"Convert any two Active Martial calls into Sunders, and allows the skill to be used with any 1-Handed weapon. This potion’s effects are canceled the next time the player uses both Sunder effects or the event ends. Does not stack with itself or other consumables that grant Sunder. ",Apotheca,2,6,6,Distilled Spirits,Distilled Spirits,11,1,Uncommon,Crypt Moss,11,1,Uncommon,Ergot Seeds,20,2,Common,Gold Lotus,20,2,Common,Phosphorous,6,72,7.2,,,,
cheat,Gravedigger,"Said to be concocted for a wealthy merchant who wished to escape a death sentence, Gravedigger causes full body paralysis and slows the heartrate to imperceptible levels. A useful way to incapacitate your foes, or feign death and start a new life. Victim is paralyzed for 20 to 30 minutes.",Poison,2,5,5,Distilled Spirits,Distilled Spirits,18,1,Rare,Death's Head Cap,33,3,Uncommon,Wraith Orchid,30,3,Common,Mandrake,10,1,Common,Black Salt,8,98,9.8,0.98,,,
enormous,Lasting Breath,Add 120 seconds to Bleeding Count. May only be used while in the Bleeding Count. Does not stack with itself or other consumables that grant seconds to the Bleeding Count.,Apotheca,2,2,2,Distilled Spirits,Distilled Spirits,22,2,Uncommon,Thornwood Fern,30,3,Common,Willow Root,20,2,Common,Phosphorous,11,1,Uncommon,Wintercrown,8,88,8.8,,,,
viable,Lookout,Gain 2 temporary levels of the Perception Skill (Max 3) until a different potion is consumed or 1 hour has passed. Does not stack with itself or other consumables that grant Perception.,Apotheca,2,3,3,Distilled Spirits,Distilled Spirits,11,1,Uncommon,Tarkathi Poppy,11,1,Uncommon,Harrowdust,40,4,Common,Orgonnian Grapes,11,1,Uncommon,Wraith Orchid,7,79,7.9,0.79,,,
moonlight,Master Moonlight,An intense hallucinogenic. The user must have at least Academics 2 to gain the following benefit: May ignore all level 2 lore requirements to open and read lores for ten minutes. Cannot use those lores to level up if they do not meet the standard requirement yet; but they can hold on to the lores and use them later when they do. Academics reduced to 0 for one hour afterwards.,Drug,2,4,4,Distilled Spirits,Distilled Spirits,33,3,Uncommon,Harrowdust,10,1,Common,Mandrake,11,1,Uncommon,Blood Medallion,10,1,Common,Gold Lotus,6,70,7,,,,
appointment,Mender,Cure Paralyze,Apotheca,2,8,8,Distilled Spirits,Distilled Spirits,22,2,Uncommon,Wraith Orchid,11,1,Uncommon,Wraith Orchid,20,2,Common,Black Salt,20,2,Common,Hollyrue,7,85,8.5,0.85,,,
aloof,Mirage,"Dried leaves that when smoked render a state of sedate euphoria for 1 hour. During that time, the user is alert, but calm and unbothered. Gain immunity to Fear and cannot use any Active Martial skills for the duration. This drug is only mildly addictive and should be roleplayed as such.",Drug,2,0,0,Distilled Spirits,Distilled Spirits,22,2,Uncommon,Harrowdust,22,2,Uncommon,Widow's Petal,11,1,Uncommon,Wraith Orchid,10,1,Common,Merchant's Leaf,6,67,6.7,0.67,,,
justice,Nyra's Balm,"The cure for Weeping Sickness, discovered by Magister Nyra in the Sirat of Serapis where she was known to aid the less fortunate who would so often succumb to the illness. This paste soothes and cures the sores of the sickness.",Apotheca,2,1,1,Distilled Spirits,Distilled Spirits,11,1,Uncommon,Tarkathi Poppy,22,2,Uncommon,Blood Medallion,22,2,Uncommon,Wintercrown,20,2,Common,Sayge,7,80,8,0.8,,,
flavor,Puissance Draught,Gain 1 temporary use of Resist. This potion’s effects are canceled the next time the player uses a Resist or the event ends. Does not stack with itself or other consumables that grant Resist. ,Apotheca,2,2,2,Distilled Spirits,Distilled Spirits,22,2,Uncommon,Duskland Rose,20,2,Common,Luminesce,20,2,Common,Hollyrue,11,1,Uncommon,Amber Lichen,7,78,7.8,,,,
month,Quagmire,"Sometimes called “Bottled Weariness”, Quagmire is a poison that causes severe sluggishness and fatigue, encouraging the victim to rest or sleep. It only lasts an hour, but that’s long enough for one’s enemies to take advantage. It is mainly used when one wishes to inflict harm, but not death. Victim gains the Weakness effect for 1 hour or until cured.",Poison,2,3,3,Distilled Spirits,Distilled Spirits,33,3,Uncommon,Widow's Petal,22,2,Uncommon,Widow's Petal,20,2,Common,Mandrake,10,1,Common,Mandrake,8,90,9,0.9,,,
painter,Elixir of the Waning Moon,Cure Lycanthropic Infection,Apotheca,2,5,5,Distilled Spirits,Distilled Spirits,22,2,Uncommon,Amber Lichen,80,1,Loot Drop,Werewolf Tallow,30,3,Common,Willow Root,22,2,Uncommon,Ergot Seeds,8,164,16.4,1.64,,,
unpleasant,Resurgence,Immediately stop Bleeding Count. May only be used while in the Bleeding Count. All Death & Dying rules apply after stopping the Bleeding Count (i.e. you enter the Wounded State).,Apotheca,2,3,3,Distilled Spirits,Distilled Spirits,11,1,Uncommon,Thornwood Fern,10,1,Common,Dragon's Eye,18,1,Rare,Grave Blood,100,1,Loot Drop,Spirit Essence,4,162,16.2,1.62,,,
spencer,Slayer,Convert any two Active Martial calls into Staggers. This potion’s effects are canceled the next time the player uses both Stagger effects or the event ends. Does not stack with itself or other consumables that grant Stagger.,Apotheca,2,3,3,Distilled Spirits,Distilled Spirits,10,1,Common,Dragon's Eye,22,2,Uncommon,Crypt Moss,20,2,Common,Phosphorous,20,2,Common,Phosphorous,7,79,7.9,0.79,,,
pickles,Stunner,"Convert any two Active Martial calls into Stuns, and the Stuns do not require an attack from behind. This potion’s effects are canceled the next time the player uses both Stun effects or the event ends. Does not stack with itself or other consumables that grant Stun. ",Apotheca,2,3,3,Distilled Spirits,Distilled Spirits,22,2,Uncommon,Wintercrown,20,2,Common,Luminesce,20,2,Common,Sayge,10,1,Common,Sayge,7,77,7.7,,,,
unlikely,Sunrise Decoction,Immediately cure the Weakness effect. Does not cure weakness granted by the wounded state.,Apotheca,2,4,4,Distilled Spirits,Distilled Spirits,11,1,Uncommon,Wraith Orchid,22,2,Uncommon,Ergot Seeds,20,2,Common,Black Salt,20,2,Common,Dragon's Eye,7,81,8.1,0.81,,,
dynasty,Swindler's Brew,Gain 2 temporary levels of the Disarm Device skill (Max 3) until a different potion is consumed or 1 hour has passed. Does not stack with itself or other consumables that grant Disarm Device.,Apotheca,2,5,5,Distilled Spirits,Distilled Spirits,22,2,Uncommon,Duskland Rose,11,1,Uncommon,Amber Lichen,20,2,Common,Hollyrue,10,1,Common,Sayge,6,70,7,,,,
trigger,Ursin's Strength,Antidote to the Broth of the Volkun poison.,Apotheca,2,2,2,Distilled Spirits,Distilled Spirits,44,4,Uncommon,Wintercrown,22,2,Uncommon,Red Lotus,11,1,Uncommon,Wraith Orchid,20,2,Common,Verbaena,9,103,10.3,,,,
cultivate,Wings of Corvus,"A specific mixture of dried leaves and seeds that when chewed or smoked, renders a state tranquilizing euphoria accompanied by mild hallucinations. Gain 1 temporary level of Perception, 1 temporary use of Tough, the Weakness effect, and Academics reduced to 0 for 1 hour. Does not stack with itself or other consumables that grant Perception and/or Tough. This drug is highly addictive and should be roleplayed as such.",Drug,2,0,0,Distilled Spirits,Distilled Spirits,33,3,Uncommon,Tarkathi Poppy,11,1,Uncommon,Blood Medallion,11,1,Uncommon,Red Lotus,10,1,Common,Verbaena,6,67,6.7,0.67,,,
crackpot,Grizzly's Decoction,Add 3 temporary points of Tough to total Armor Value. Must be used before any purchased levels of Tough. This potion’s effects are canceled the next time the player uses all three temporary Tough points or the event ends. Does not stack with itself or other consumables that grant Tough.,Apotheca,3,3,3,Distilled Spirits,Distilled Spirits,20,2,Common,Verbaena,100,1,Loot Drop,Spirit Essence,11,1,Uncommon,Ergot Seeds,11,1,Uncommon,Wintercrown,5,149,14.9,1.49,,,
continuous,Serum of the Last Tower,Gain 2 temporary uses of Resist. Must be used before any purchased levels of Resist. This potion’s effects are canceled the next time the player uses both Resists or the event ends. Does not stack with itself or other consumables that grant Resist. ,Apotheca,3,2,2,Distilled Spirits,Distilled Spirits,54,3,Rare,Waste Lilly,22,2,Uncommon,Duskland Rose,30,3,Common,Black Salt,36,2,Rare,Embercap,10,155,15.5,1.55,,,
shorts,Brink,Add 180 seconds to Bleeding Count. May only be used while in the Bleeding Count. Does not stack with itself or other consumables that grant seconds to the Bleeding Count.,Apotheca,3,3,3,Distilled Spirits,Distilled Spirits,33,3,Uncommon,Ergot Seeds,40,4,Common,Merchant's Leaf,22,2,Uncommon,Thornwood Fern,54,3,Rare,Waste Lilly,12,169,16.9,1.69,,,
institution,Reaper's Elixir,"Immediately stop the Dying Count. Cannot be administered by yourself, it must be administered by someone else. May only be used while in the Dying Count. All Death & Dying rules apply after stopping the Dying Count (i.e. you enter the Wounded State).",Apotheca,3,6,6,Distilled Spirits,Distilled Spirits,36,2,Rare,Grave Blood,10,1,Common,Hollyrue,11,1,Uncommon,Wraith Orchid,100,1,Loot Drop,Vampire Blood,5,193,19.3,1.93,,,
quiet,Awakener's Draught,The antidote to The Sleeper poison.,Apotheca,3,5,5,Distilled Spirits,Distilled Spirits,36,2,Rare,Embercap,40,4,Common,Celandine,30,3,Common,Merchant's Leaf,33,3,Uncommon,Harrowdust,12,154,15.4,1.54,,,
lunar,The Sleeper,"The target is afflicted by a drunken state and experiences weakness. When the afflicted next goes to sleep, they will enter their dying count and quietly expire in their sleep after their dying count is up.",Poison,3,4,4,Distilled Spirits,Distilled Spirits,44,4,Uncommon,Tarkathi Poppy,20,2,Common,Luminesce,18,1,Rare,Death's Head Cap,54,3,Rare,Black Lotus,10,157,15.7,1.57,,,
eliminate,Reset,"Extremely euphoric, addictive drug that causes short term happiness but permanent memory loss. Gain 2 Tough for 1 hour. First use of the drug, lose a memory of your choice. Each use after, lose a memory of your choice AND a # of rolls from the Memory Loss Table equal to the # of times you have taken the drug after the first. Your mind forgets the memories, but any trauma caused by past experiences is still felt by your body (i.e., you may experience anxiety or tenseness when confronted with something that would otherwise remind you of the lost memory).",Drug,3,3,3,Distilled Spirits,Distilled Spirits,54,3,Rare,Black Lotus,33,3,Uncommon,Red Lotus,22,2,Uncommon,Blood Medallion,10,1,Common,Hollyrue,9,125,12.5,1.25,,,
prague,Stoneface,"Immune to Fear and emotional doubts. Cannot benefit from inspired abilities while under the effect of the drug (such as Rousing Speech, Aurorym ceremonies, etc), including those gained before the drug was consumed. Must act without emotion, including emotion towards self preservation and safety of others. Lasts for 2 hours.",Drug,3,0,0,Distilled Spirits,Distilled Spirits,54,3,Rare,Waste Lilly,22,2,Uncommon,Amber Lichen,11,1,Uncommon,Creeper Moss,30,3,Common,Luminesce,9,126,12.6,1.26,,,
booksmart,Elixir of Revelation,An intense hallucinogenic. The user must have at least Academics 2 to gain the following benefit: May ignore ALL lore requirements to open and read lores for 10 minutes. Forbidden Lores still require the Forbidden Lore skill. Cannot use those lores to level up if they do not meet the standard requirement yet; but they can hold on to the lores and use them later when they do. Roll for a madness on the Forbidden Lore Madness table each time you use this drug. Academics reduced to 0 for 1 hour afterwards.,Drug,3,4,4,Distilled Spirits,Distilled Spirits,54,3,Rare,Hag's Wort,36,2,Rare,Black Lotus,11,1,Uncommon,Harrowdust,20,2,Common,Gold Lotus,8,131,13.1,1.31,,,
maroon,Leech,"In 15 minutes, causes bleeding from orifices. In 30 minutes, causes bleeding from all pores. In 45 minutes, enter Dying Count.",Poison,3,2,2,Distilled Spirits,Distilled Spirits,54,3,Rare,Death's Head Cap,60,1,Loot Drop,Ghoul Venom,36,2,Rare,Fulger Powder,22,2,Uncommon,Creeper Moss,8,181,18.1,1.81,,,
zebra,Styptic Tonic,The antidote to the Leech poison.,Apotheca,3,6,6,Distilled Spirits,Distilled Spirits,54,3,Rare,Lachrymite Resin,10,1,Common,Black Salt,22,2,Uncommon,Blood Medallion,44,4,Uncommon,Thornwood Fern,10,150,15,1.5,,,
decorative,Tincture of the White Vein,"Immediately cure the Twitch disease. As the victims are often hydrophobic, the cure must be administered through the blood.",Apotheca,3,5,5,Distilled Spirits,Distilled Spirits,18,1,Rare,Grave Blood,54,3,Rare,Hag's Wort,30,3,Common,Willow Root,33,3,Uncommon,Crypt Moss,10,150,15,1.5,,,
trait,Germaine's Cure,Immediately cure the Red Plague disease.,Apotheca,3,4,4,Distilled Spirits,Distilled Spirits,36,2,Rare,Lachrymite Resin,30,3,Common,Luminesce,33,3,Uncommon,Amber Lichen,36,2,Rare,Embercap,10,150,15,1.5,,,
overview,Weaponmaster's Decoction,"Gain 3 uses of any Active Martial skill, even ones you don't have access to, excluding Resist. Cleaves used with this potion can be used with one-handed weapons. Stuns used with this potion do not require an attack from behind.",Apotheca,3,5,5,Distilled Spirits,Distilled Spirits,54,3,Rare,Entheric Oil,40,4,Common,Sayge,22,2,Uncommon,Duskland Rose,22,2,Uncommon,Duskland Rose,11,150,15,1.5,,,
policeman,Breath of Medeina,Antidote to the Lirit’s Kiss poison.,Apotheca,3,5,5,Distilled Spirits,Distilled Spirits,36,2,Rare,Grave Blood,54,3,Rare,Entheric Oil,44,4,Uncommon,Crypt Moss,30,3,Common,Phosphorous,12,178,17.8,1.78,,,
contrary,Silence of the Serpent,Antidote to the Song of the Asp poison.,Apotheca,3,5,5,Distilled Spirits,Distilled Spirits,54,3,Rare,Hag's Wort,54,3,Rare,Embercap,22,2,Uncommon,Red Lotus,20,2,Common,Celandine,10,161,16.1,1.61,,,
antidote,Rest Denied,Target cannot be embraced by Lirit if they die while under the effects of this poison.,Poison,3,4,4,Distilled Spirits,Distilled Spirits,80,1,Loot Drop,Essence of the Unhallowed,60,1,Loot Drop,Ghoul Venom,18,1,Rare,Fulger Powder,11,1,Uncommon,Creeper Moss,4,177,17.7,1.77,,,
night,Lirit's Kiss,"Target suffers immediate unconsciousness and begins spitting blood. Immediately enter Dying Count, with Dying Count reduced to 1 minute.",Poison,3,6,6,Distilled Spirits,Distilled Spirits,33,3,Uncommon,Crypt Moss,80,4,Black Market,Basilisk Venom,36,2,Rare,Fulger Powder,33,3,Uncommon,Wraith Orchid,12,198,19.8,1.98,,,
throne,Song of the Asp,"Target suffers uncurable Weakness and deliriousness. Magisters of reported victims complaining of incessant singing that couldn't be heard by anyone else, among other hallucinations. Death occurs in 12 hours or the end of the event in which the poison was administered, whichever is sooner.",Poison,3,5,5,Distilled Spirits,Distilled Spirits,33,3,Uncommon,Red Lotus,60,3,Black Market,Asp Venom,22,2,Uncommon,Wraith Orchid,36,2,Rare,Death's Head Cap,10,167,16.7,1.67,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,Price Increase Based on Item Rank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Costs Formula (Do not Move),Unit Cost in Copper,Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Common,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Distilled Spirits,1,Costs 1 wood to make 10 Spirits (import cost from Schematics Worksheet),,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Uncommon,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Rare,18,,,,,,,,,Per John,,,,,,,,,,,,,,,,,,,
,,Black Market,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Loot,See table below,,,,,,,,,Level 1 is 5 commons + water at 15c per common herb and 10c for water - final price is  85c - sells for 120c,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Level 2 is 3(30c) uncommons 3 (15c) commons  + 10c for water or 7s for cost sells for 1 gold,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"Level 3 is 3 commons 3 uncommons and X rares, ends up selling for about 1.5 goldfish",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Loot Table Costs (Manually enter the name and pice for any Loot Drop items here for the formulas to price),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Spirit Essence,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Werewolf Tallow,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Vampire Blood,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Essence of the Unhallowed,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Ghoul Venom,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,